country,country_short,party_short,wave,party_name_english,party_name_original,family,family_label,poppa_id,partyfacts_id,n_experts,mean_n_experts,manichean,indivisible,generalwill,peoplecentrism,antielitism,peopleimm,peoplewealthy,elitepol,elitemedia,eliteecon,elitecult,lrecon,salienceecon,immigration,nativism,lifestyle,laworder,saliencecult,lroverall,eu,climatepolicy,climatescience,complex,emotional,intradem,personalised,populism_mean,populism_cfa,populism_cfa_rescaled
Greece,GRC,PASOK-KINAL,Wave 1 - 2018,PASOK – Movement for Change,ΠΑΣΟΚ – Κίνημα Αλλαγής,5,Social Democratic,1304,1468,13,11.75,4.9166665,4.5833335,3.7272727,4.9166665,2.9166667,NA,NA,NA,NA,NA,NA,5.3333335,NA,6,3.5833333,6.75,4.25,NA,4.9166665,8.916667,NA,NA,6.9,5.7272725,4.6666665,6.4166665,4.21212118,-0.49171431959319417,4.278220940165141
Greece,GRC,PASOK-KINAL,Wave 2 - 2023,PASOK – Movement for Change,ΠΑΣΟΚ – Κίνημα Αλλαγής,5,Social Democratic,1304,1468,11,10.64,3.3636363636363638,4.454545454545454,4.7272727272727275,4.181818181818182,3.3636363636363638,6.909090909090909,5.818181818181818,5.2,5.444444444444445,6.909090909090909,5.090909090909091,5.181818181818182,7.7272727272727275,5.636363636363637,2.909090909090909,7.363636363636363,5.363636363636363,6.5,4.818181818181818,9.454545454545455,7,8.75,NA,NA,NA,NA,4.0181818181818185,-0.7855672605581668,3.8654208146305558
Greece,GRC,KKE,Wave 1 - 2018,Communist Party of Greece,Κομμουνιστικό Κόμμα Ελλάδας,6,Radical Left,1305,48,13,12.6875,7.1538463,6.923077,7.8333335,6.6153846,7.7692310000000004,NA,NA,NA,NA,NA,NA,0.23076923,NA,6.4615383,1.9230769,4.3076925,3,NA,0.61538464,0.3846154,NA,NA,3.7272727,5.5833335,1.6923077,4.6923075,7.25897448,1.8503937064079587,7.5683785406775765
Greece,GRC,KKE,Wave 2 - 2023,Communist Party of Greece,Κομμουνιστικό Κόμμα Ελλάδας,6,Radical Left,1305,48,11,10.52,7,6.181818181818182,7.636363636363637,8.181818181818182,8.636363636363637,7.636363636363637,1.3636363636363635,5.818181818181818,5.8,6.454545454545454,4.5,0.18181818181818182,8,6.3,3,4.7272727272727275,3.4,3.4,0.5454545454545454,0.36363636363636365,3,4.428571428571429,NA,NA,NA,NA,7.527272727272727,2.1424122886073067,7.978601787021371
Greece,GRC,Potami,Wave 1 - 2018,The River,Το Ποτάμι,5,Social Democratic,1306,NA,13,11.75,4,3.5833333,3,4.0833335,3,NA,NA,NA,NA,NA,NA,6.5833335,NA,6.5,2.0833333,8.5,3.0833333,NA,5.5,9.416667,NA,NA,6.8,3.8181818,6.3333335,6.6666665,3.53333336,-1.2719770214379882,3.182119808034973
Greece,GRC,ANEL,Wave 1 - 2018,Independent Greeks,Ανεξάρτητοι Έλληνες,1,Radical Right,1307,NA,13,12.625,8.384615,8.615385,8.083333,7.7692310000000004,7.8461537,NA,NA,NA,NA,NA,NA,4.5384617,NA,1.7692307,8.384615,1.3076923,7.923077,NA,8.307693,4.3076925,NA,NA,3,8.666667,2.3076923,8.923077,8.13974354,2.6525551699730503,8.69524271896786
Greece,GRC,EK,Wave 1 - 2018,Union of Centrists,Ένωση Κεντρώων,5,Social Democratic,1308,NA,13,11.0625,6.25,6,6.8,6.6,6.3636365,NA,NA,NA,NA,NA,NA,4.8,NA,3.4,5.7,3,5.5833335,NA,5.3076925,6.2727275,NA,NA,4.111111,5.8,2.1666667,9.153846,6.4027273,1.2979595371478727,6.792327453112178
Greece,GRC,LAE,Wave 1 - 2018,Popular Unity,Λαϊκή Ενότητα,6,Radical Left,1309,NA,13,12.1875,8.230769,7.6153846,8.272727,8.833333,8.833333,NA,NA,NA,NA,NA,NA,0.9166667,NA,7.8333335,2,7.909091,1.6923077,NA,1.3076923,1.3846154,NA,NA,2.6363637,8,5.1666665,5,8.35710932,2.9142276795123796,9.062836265699321
Greece,GRC,KA,Wave 1 - 2018,Movement for Change,Κίνημα Αλλαγής,5,Social Democratic,1310,7909,13,12.5,4.5384617,4.25,3.6666667,4.5833335,2.75,NA,NA,NA,NA,NA,NA,5.3076925,NA,5.923077,3.3846154,7.4615383,4,NA,4.923077,8.846154,NA,NA,5.4545455,4.8333335,5.6666665,5.923077,3.95769238,-0.7119865331807911,3.968785897173417
Greece,GRC,KA,Wave 2 - 2023,Movement for Change,Κίνημα Αλλαγής,5,Social Democratic,1310,7909,11,5.76,3,3.6666666666666665,4.666666666666667,3.8333333333333335,3.1666666666666665,6.5,6,7.2,5.8,7.666666666666667,6.333333333333333,4.666666666666667,7.5,5.833333333333333,3.1666666666666665,7.666666666666667,5.5,7.2,4.5,9.5,6.8,8.5,NA,NA,NA,NA,3.6666666666666665,-1.0198507069569365,3.5363030056799367
